Tuple,AoI
"(4, 2, 0)",21
"(4, -4, 3)",3
"(-2, 2, 4)",21
"(-3, 3, 0)",19
"(-2, -4, 6)",2
"(0, 0, -6)",37
"(5, -4, 1)",9
"(6, 0, -1)",5
"(-3, 2, -2)",14
"(6, 5, 1)",2
"(-6, -5, -1)",1
"(4, 2, 3)",38
"(5, -2, -3)",2
"(0, 3, -3)",20
"(-5, -1, -1)",54
"(4, 4, 6)",7
"(-4, -4, -6)",4
"(4, -1, -1)",69
"(5, -1, 3)",4
"(-5, 1, 4)",3
"(-4, 1, -3)",5
"(-4, 2, -1)",24
"(4, -2, 0)",16
"(4, 1, -2)",25
"(2, -4, -1)",30
"(-4, 2, 0)",16
"(1, 4, -2)",10
"(5, 4, 1)",13
"(-5, 5, 2)",1
"(0, -5, -2)",21
"(6, -4, 2)",1
"(7, 1, 3)",2
"(8, 2, 4)",1
"(-8, -2, -4)",1
"(3, -2, 5)",5
"(-1, 5, 2)",15
"(1, 4, 3)",49
"(-1, -4, -3)",29
"(5, 0, 4)",6
"(6, 0, 5)",2
"(-6, 0, 6)",2
"(1, 0, -6)",4
"(-4, 3, 2)",4
"(0, -5, 1)",15
"(1, 3, 5)",10
"(-1, -3, -5)",6
"(-2, -5, 2)",2
"(-1, 3, -3)",13
"(-4, -4, 2)",8
"(3, -3, 4)",16
"(-3, 0, 5)",4
"(3, 4, 6)",3
"(-3, 5, -6)",1
"(5, 1, 5)",14
"(-5, -1, -5)",8
"(-4, -3, -1)",31
"(3, 4, -3)",14
"(0, 5, -3)",6
"(4, -3, 0)",37
"(2, 3, -4)",5
"(3, -4, -2)",16
"(2, 3, -3)",16
"(-3, 4, -2)",19
"(5, -3, -2)",3
"(6, 0, 0)",13
"(8, 0, 2)",1
"(-8, 0, -2)",1
"(3, 1, -3)",12
"(6, -4, 1)",1
"(-6, 0, -1)",9
"(-2, 4, 2)",12
"(0, 5, -2)",7
"(1, -5, 0)",6
"(2, 2, 5)",54
"(-2, -2, 6)",8
"(3, -3, 1)",18
"(2, 2, -5)",6
"(1, 3, -4)",7
"(2, 5, -4)",4
"(-2, 6, 1)",2
"(1, 7, 2)",7
"(-1, -7, -2)",5
"(-1, 2, 5)",14
"(1, -2, 6)",3
"(4, 3, 0)",14
"(3, 6, 3)",4
"(-3, 7, 4)",1
"(0, -7, -4)",1
"(0, 0, 6)",18
"(1, 1, 7)",14
"(-1, -1, -7)",7
"(2, -5, -1)",2
"(-2, 5, -1)",5
"(4, -1, 4)",17
"(-4, 0, 5)",8
"(2, 2, 7)",4
"(3, -2, -7)",1
"(5, -2, 3)",11
"(-3, 0, 4)",32
"(4, -3, -1)",19
"(2, -3, -4)",7
"(6, -1, 2)",5
"(8, 2, -3)",1
"(-8, 3, 1)",1
"(6, 2, 1)",11
"(-6, 3, -1)",3
"(5, 1, -2)",6
"(-5, -1, 1)",3
"(-4, 2, 1)",9
"(-1, -4, 4)",4
"(-4, 5, -2)",5
"(-5, 2, 2)",5
"(5, 1, 3)",11
"(6, 2, 4)",5
"(-6, -2, -4)",3
"(0, 3, 6)",3
"(0, -3, -6)",8
"(-3, -4, -2)",17
"(-5, -1, 2)",6
